Código de Barras;Tipo de Produto;Descrição;Preço de Custo;Preço Venda Varejo;Preço Venda Atacado;Quantidade Mínima Atacado;Unidade;Ativo;Categoria do Produto;Subcategoria do Produto;Movimenta Estoque;Estoque mínimo;Quantidade em Estoque;Marca;Modelo;Código Balança;Código Interno;Tags;Tipo;NCM;Origem;CEST;Categoria PDV;Botão PDV;Categoria na Loja Virtual;Subcategoria na Loja Virtual;Nome na Loja Virtual;Preço De;Preço Por;Altura (cm);Largura (cm);Profundidade (cm);Peso (Kg);Descrição do Produto;Garantia;Itens Inclusos;Especificações
"2000000000001";"Produto";"MANG SILIC 300M VERD/PTO 1/2X2,2MM";1.94;3.80;3.00;10.00;"Unidade";"Sim";"";"";"Sim";0.000;-2192.500;"";"";"";"";"";"Mercadoria para Revenda";"39173900";"NACIONAL";"";"";"";"";"";"MANG SILIC 300M VERD/PTO 1/2X2,2MM";0.00;3.80;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000002";"Produto";"REGULADOR P/GAS PEQ C/MANG 0,80M R504/01";38.78;58.00;58.00;10.00;"Unidade";"Sim";"";"";"Sim";0.000;-19.000;"";"";"";"";"";"Mercadoria para Revenda";"84811000";"NACIONAL";"";"";"";"";"";"REGULADOR P/GAS PEQ C/MANG 0,80M R504/01";0.00;58.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000003";"Produto";"CABO FLEX. 2,5MM AZUL";1.38;3.20;0.00;0.00;"Unidade";"Sim";"";"";"Sim";0.000;-698.000;"";"";"";"";"";"Mercadoria para Revenda";"85444900";"NACIONAL";"";"";"";"";"";"CABO FLEX. 2,5MM AZUL";0.00;3.20;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000004";"Produto";"CABO FLEX. 2,5MM PRETO";1.38;3.20;0.00;0.00;"Unidade";"Sim";"";"";"Sim";0.000;-1698.000;"";"";"";"";"";"Mercadoria para Revenda";"85444900";"NACIONAL";"";"";"";"";"";"CABO FLEX. 2,5MM PRETO";0.00;3.20;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000005";"Produto";"CABO FLEX. 2,5MM VERDE";1.29;3.20;0.00;0.00;"Unidade";"Sim";"";"";"Sim";0.000;-919.000;"";"";"";"";"";"Mercadoria para Revenda";"85444900";"NACIONAL";"";"";"";"";"";"CABO FLEX. 2,5MM VERDE";0.00;3.20;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000006";"Produto";"DISJUNTOR UNI 15A PTO SOPRANO";10.12;15.00;0.00;0.00;"Unidade";"Sim";"";"";"Sim";0.000;-62.000;"";"";"";"";"";"Mercadoria para Revenda";"85362000";"NACIONAL";"";"";"";"";"";"DISJUNTOR UNI 15A PTO SOPRANO";0.00;15.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000007";"Produto";"DISJUNTOR UNI 20A PTO SOPRANO";10.12;15.00;0.00;0.00;"Unidade";"Sim";"";"";"Sim";0.000;-61.000;"";"";"";"";"";"Mercadoria para Revenda";"85362000";"NACIONAL";"";"";"";"";"";"DISJUNTOR UNI 20A PTO SOPRANO";0.00;15.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000008";"Produto";"LAMPADA LED BULBO 12W";2.48;8.00;0.00;0.00;"Unidade";"Sim";"";"";"Sim";0.000;-111.000;"";"";"";"";"";"Mercadoria para Revenda";"85395200";"NACIONAL";"";"";"";"";"";"LAMPADA LED BULBO 12W";0.00;8.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000009";"Produto";"LAMPADA LED BULBO 15W";2.97;10.00;0.00;0.00;"Unidade";"Sim";"";"";"Sim";0.000;-53.000;"";"";"";"";"";"Mercadoria para Revenda";"85395200";"NACIONAL";"";"";"";"";"";"LAMPADA LED BULBO 15W";0.00;10.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000010";"Produto";"LAMPADA LED BULBO 20W";4.23;15.00;0.00;0.00;"Unidade";"Sim";"";"";"Sim";0.000;-36.000;"";"";"";"";"";"Mercadoria para Revenda";"85395200";"NACIONAL";"";"";"";"";"";"LAMPADA LED BULBO 20W";0.00;15.00;0.000;0.000;0.000;0.000;"";"";"";""
